Unnamed: 0,track_id,track,artist,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,era
0,6kVuF2PYLuvl9T85XjNbaO,Lay It Down Gmix - Main,Lloyd,302186,28,0.597,0.8,C# / Db,-5.422999999999999,minor,0.312,0.0461,0.0,0.18,0.565,155.93200000000002,TIKTOK DANCE,10s
1,1RGIjMFMgJxkZHMDXVYzOJ,Bartender (feat. Akon),T-Pain,238800,75,0.8320000000000001,0.391,G# / Ab,-8.504,major,0.0628,0.0564,0.0,0.2239999999999999,0.436,104.961,TIKTOK DANCE,00s
3,1dIWPXMX4kRHj6Dt2DStUQ,Chosen (feat. Ty Dolla $ign),Blxst,161684,76,0.5710000000000001,0.767,D,-5.16,major,0.287,0.336,0.0,0.0809,0.605,93.421,TIKTOK DANCE,20s
4,4QVS8YCpK71R4FsxSMCjhP,Tie Me Down (with Elley Duhé),Gryffin,218295,72,0.5479999999999999,0.8390000000000001,F# / Gb,-2.371,major,0.0644,0.135,0.0,0.102,0.314,98.932,TIKTOK DANCE,10s
5,7BoobGhD4x5K96Me0hqC8Q,Build a Bitch,Bella Poarch,122772,89,0.855,0.4629999999999999,D# / Eb,-7.454,major,0.0367,0.217,1.77e-05,0.347,0.866,102.931,TIKTOK DANCE,20s
7,5OKHUpNLi4GEQ0aynz9VLJ,Ever After,Bonnie Bailey,231559,50,0.774,0.8,B,-6.504,minor,0.0314,0.259,3.8e-06,0.0888,0.902,113.994,TIKTOK DANCE,10s
8,3J8EOeKLTLXORtWPpOU5bE,Calling My Phone,Lil Tjay,205458,89,0.907,0.3929999999999999,E,-7.636,minor,0.0539,0.451,1.35e-06,0.135,0.2019999999999999,104.949,TIKTOK DANCE,20s
9,5caZgotE4D6elZpd5S4wlX,Clap For 'Em (feat. Flo Milli & Sada Baby),YungManny,125579,70,0.903,0.785,C# / Db,-4.709,major,0.322,0.0245,0.0,0.0652,0.823,129.835,TIKTOK DANCE,20s
11,3VqeTFIvhxu3DIe4eZVzGq,Butter,BTS,164441,98,0.759,0.4589999999999999,G# / Ab,-5.187,major,0.0948,0.00323,0.0,0.0906,0.695,109.997,TIKTOK DANCE,20s
14,1ax4ZAVsA2k1WmlAEiknCH,Love Me,Justin Bieber,191573,43,0.7290000000000001,0.868,D# / Eb,-3.319,major,0.0609,0.00939,0.0,0.283,0.632,124.957,TIKTOK DANCE,00s
15,6UQreXkBLml4Bv3q3NEUzq,Who's That Girl (feat. Eve),Guy Sebastian,219693,51,0.759,0.833,C,-5.268,major,0.0353,0.155,0.0,0.192,0.599,127.017,TIKTOK DANCE,10s
16,6uvMKqNlrSvcC4NaKnrwjZ,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne,278085,91,0.883,0.674,B,-8.043,minor,0.357,0.21,0.0,0.0678,0.73,141.02,TIKTOK DANCE,20s
18,1sVwtQw8VoPMsPDMvx9Y4S,Ayegirl,1way Frank,170866,58,0.7829999999999999,0.38,A# / Bb,-8.507,minor,0.0974,0.735,1.58e-06,0.158,0.84,99.802,TIKTOK DANCE,10s
20,4FJ50kkBvVzJte01d6Gtt8,You Da One,Rihanna,200013,44,0.7020000000000001,0.715,F,-5.377000000000001,minor,0.0425,0.503,2.44e-05,0.126,0.863,127.05,TIKTOK DANCE,10s
21,4PxWkNPSN62nCIwKvtsmda,Hands Up,Chris Brown,147716,53,0.565,0.73,B,-5.941,major,0.127,0.369,0.0,0.0773,0.526,102.792,TIKTOK DANCE,10s
